"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"8600000US77518","ZCTA5 77518","11513","1328","null","null",
"8600000US77519","ZCTA5 77519","781","324","null","null",
"8600000US77520","ZCTA5 77520","33837","1827","null","null",
"8600000US77521","ZCTA5 77521","60703","2591","null","null",
"8600000US77523","ZCTA5 77523","23431","1263","null","null",
"8600000US77530","ZCTA5 77530","32070","2614","null","null",
"8600000US77531","ZCTA5 77531","16352","338","null","null",
"8600000US77532","ZCTA5 77532","30042","2306","null","null",
"8600000US77533","ZCTA5 77533","1045","295","null","null",
"8600000US77534","ZCTA5 77534","2905","669","null","null",
"8600000US77535","ZCTA5 77535","34603","1860","null","null",
"8600000US77536","ZCTA5 77536","32745","629","null","null",
"8600000US77538","ZCTA5 77538","808","216","null","null",
"8600000US77539","ZCTA5 77539","44228","1724","null","null",
"8600000US77541","ZCTA5 77541","19072","1289","null","null",
"8600000US77545","ZCTA5 77545","23051","1983","null","null",
"8600000US77546","ZCTA5 77546","53148","1369","null","null",
"8600000US77547","ZCTA5 77547","9895","318","null","null",
"8600000US77550","ZCTA5 77550","21710","1056","null","null",
"8600000US77551","ZCTA5 77551","22198","1049","null","null",
"8600000US77554","ZCTA5 77554","8730","756","null","null",
"8600000US77560","ZCTA5 77560","510","304","null","null",
"8600000US77561","ZCTA5 77561","98","78","null","null",
"8600000US77562","ZCTA5 77562","10064","1429","null","null",
"8600000US77563","ZCTA5 77563","11129","448","null","null",
"8600000US77564","ZCTA5 77564","1532","464","null","null",
"8600000US77565","ZCTA5 77565","6953","714","null","null",
"8600000US77566","ZCTA5 77566","29362","502","null","null",
"8600000US77568","ZCTA5 77568","16676","332","null","null",
"8600000US77571","ZCTA5 77571","37699","608","null","null",
"8600000US77573","ZCTA5 77573","91454","974","null","null",
"8600000US77575","ZCTA5 77575","16209","1092","null","null",
"8600000US77577","ZCTA5 77577","1497","340","null","null",
"8600000US77578","ZCTA5 77578","22822","1681","null","null",
"8600000US77580","ZCTA5 77580","999","403","null","null",
"8600000US77581","ZCTA5 77581","50737","2673","null","null",
"8600000US77583","ZCTA5 77583","41305","2541","null","null",
"8600000US77584","ZCTA5 77584","91993","2721","null","null",
"8600000US77585","ZCTA5 77585","1226","582","null","null",
"8600000US77586","ZCTA5 77586","23003","654","null","null",
"8600000US77587","ZCTA5 77587","17162","147","null","null",
"8600000US77590","ZCTA5 77590","31045","1672","null","null",
"8600000US77591","ZCTA5 77591","14926","1555","null","null",
"8600000US77597","ZCTA5 77597","1026","435","null","null",
"8600000US77598","ZCTA5 77598","26513","1538","null","null",
"8600000US77611","ZCTA5 77611","8608","359","null","null",
"8600000US77612","ZCTA5 77612","9619","1019","null","null",
"8600000US77613","ZCTA5 77613","1045","267","null","null",
"8600000US77614","ZCTA5 77614","408","240","null","null",
"8600000US77615","ZCTA5 77615","923","313","null","null",
"8600000US77616","ZCTA5 77616","157","140","null","null",
"8600000US77617","ZCTA5 77617","47","32","null","null",
"8600000US77619","ZCTA5 77619","15531","42","null","null",
"8600000US77622","ZCTA5 77622","1396","633","null","null",
"8600000US77623","ZCTA5 77623","634","231","null","null",
"8600000US77624","ZCTA5 77624","793","268","null","null",
"8600000US77625","ZCTA5 77625","9997","1075","null","null",
"8600000US77627","ZCTA5 77627","20969","880","null","null",
"8600000US77629","ZCTA5 77629","810","263","null","null",
"8600000US77630","ZCTA5 77630","27279","1216","null","null",
"8600000US77632","ZCTA5 77632","22200","1168","null","null",
"8600000US77640","ZCTA5 77640","16549","1162","null","null",
"8600000US77642","ZCTA5 77642","37902","1156","null","null",
