Zipcode,Population,Count,IncidentsPer1000,ProblemType,ProblemCount
78205,1503.0,2736,1820.4,Patrol By,859
78215,2925.0,1258,430.1,Patrol By,315
78257,8113.0,1005,123.9,Traffic Related,252
78235,1471.0,178,121.0,Disturbance,30
78208,4549.0,507,111.5,Traffic Related,106
78212,27940.0,3035,108.6,Traffic Related,552
78216,45325.0,4898,108.1,Traffic Related,1084
78238,27027.0,2889,106.9,Traffic Related,798
78204,12850.0,1297,100.9,Traffic Related,373
78207,57700.0,5703,98.8,Disturbance,836
78202,11675.0,1072,91.8,Disturbance,155
78203,6162.0,558,90.6,Patrol By,100
78224,22569.0,2012,89.1,Traffic Related,511
78220,17095.0,1502,87.9,Disturbance,264
78227,49326.0,3890,78.9,Traffic Related,1133
78229,35589.0,2774,77.9,Disturbance,452
78219,17705.0,1378,77.8,Traffic Related,314
78218,38749.0,2909,75.1,Traffic Related,803
78201,50336.0,3620,71.9,Patrol By,559
78214,26805.0,1915,71.4,Disturbance,294
78237,41247.0,2946,71.4,Traffic Related,531
78210,37061.0,2606,70.3,Patrol By,351
78230,45661.0,3017,66.1,Traffic Related,1131
78223,56484.0,3472,61.5,Disturbance,457
78211,34539.0,2120,61.4,Traffic Related,321
78226,8012.0,481,60.0,Patrol By,77
78231,10132.0,591,58.3,Patrol By,230
78225,15147.0,837,55.3,Traffic Related,162
78221,42535.0,2220,52.2,Traffic Related,401
78256,11435.0,593,51.9,Traffic Related,75
78217,35257.0,1789,50.7,Disturbance,224
78222,25935.0,1278,49.3,Traffic Related,213
78228,61441.0,2959,48.2,Disturbance,511
78232,39638.0,1901,48.0,Traffic Related,549
78209,44706.0,1965,44.0,Patrol By,349
78249,61712.0,2671,43.3,Traffic Related,633
78242,35159.0,1520,43.2,Patrol By,204
78073,8897.0,361,40.6,Disturbance,54
78251,65885.0,2568,39.0,Disturbance,321
78240,61937.0,2283,36.9,Disturbance,304
78247,53597.0,1910,35.6,Patrol By,212
78213,45124.0,1573,34.9,Disturbance,220
78233,48060.0,1672,34.8,Disturbance,224
78258,47146.0,1542,32.7,Traffic Related,407
78245,76392.0,2280,29.8,Traffic Related,420
78252,11479.0,294,25.6,Disturbance,38
78259,26591.0,646,24.3,Traffic Related,126
78250,62951.0,1501,23.8,Disturbance,165
78248,13822.0,300,21.7,Disturbance,47
78266,6592.0,142,21.5,Traffic Related,30
78112,8725.0,159,18.2,Traffic Related,47
78244,33988.0,532,15.7,Disturbance,71
78254,61141.0,900,14.7,Traffic Related,116
78264,10603.0,144,13.6,Patrol By,31
78253,41900.0,538,12.8,Minor Accident,95
78109,39424.0,493,12.5,Traffic Related,122
78239,26966.0,304,11.3,Disturbance,35
78243,419.0,4,9.5,Miscellaneous,2
78255,15064.0,141,9.4,Traffic Related,21
78234,4917.0,44,8.9,Patrol By,17
78260,26164.0,232,8.9,Traffic Related,44
78023,29847.0,248,8.3,Traffic Related,43
78236,6760.0,53,7.8,Patrol By,20
78263,3561.0,24,6.7,SAPD Non-Emergency Call,14
78152,2569.0,7,2.7,SAPD Non-Emergency Call,3
78261,16518.0,35,2.1,SAPD Non-Emergency Call,20
78154,41171.0,83,2.0,Disturbance,14
78002,5758.0,11,1.9,SAPD Non-Emergency Call,6
78404,16852.0,12,0.7,Patrol By,9
78069,6187.0,4,0.6,SAPD Non-Emergency Call,3
78006,37568.0,20,0.5,SAPD Non-Emergency Call,9
78124,6553.0,3,0.5,Traffic Related,2
78101,7434.0,3,0.4,SAPD Emergency Call,2
78052,6128.0,2,0.3,SAPD Non-Emergency Call,2
78148,22955.0,4,0.2,SAPD Emergency Call,2
78015,17187.0,4,0.2,SAPD Non-Emergency Call,3
78155,50832.0,5,0.1,Patrol By,5
78648,8264.0,1,0.1,Theft,1
78070,15537.0,1,0.1,Traffic Related,1
78163,13937.0,1,0.1,Traffic Related,1
78701,11903.0,1,0.1,Patrol By,1
78749,38503.0,1,0.0,Patrol By,1
