Zipcode,Population,Count,IncidentsPer1000,ProblemType,ProblemCount
78205,1503.0,2617,1741.2,Patrol By,687
78215,2925.0,1361,465.3,Traffic Related,340
78235,1471.0,221,150.2,Disturbance,39
78216,45325.0,5761,127.1,Traffic Related,1350
78257,8113.0,977,120.4,Traffic Related,278
78212,27940.0,3002,107.4,Disturbance,469
78208,4549.0,462,101.6,Traffic Related,72
78238,27027.0,2657,98.3,Traffic Related,640
78202,11675.0,1135,97.2,Patrol By,206
78207,57700.0,5470,94.8,Patrol By,815
78203,6162.0,577,93.6,Patrol By,93
78204,12850.0,1197,93.2,Traffic Related,213
78220,17095.0,1549,90.6,Patrol By,222
78219,17705.0,1493,84.3,Traffic Related,300
78218,38749.0,3201,82.6,Traffic Related,860
78227,49326.0,4048,82.1,Traffic Related,909
78229,35589.0,2911,81.8,Disturbance,537
78201,50336.0,3708,73.7,Patrol By,649
78230,45661.0,3360,73.6,Traffic Related,1341
78224,22569.0,1605,71.1,Traffic Related,291
78237,41247.0,2914,70.6,Disturbance,408
78210,37061.0,2534,68.4,Patrol By,386
78214,26805.0,1820,67.9,Disturbance,290
78223,56484.0,3465,61.3,Disturbance,530
78231,10132.0,619,61.1,Patrol By,161
78226,8012.0,484,60.4,Patrol By,84
78211,34539.0,2047,59.3,Traffic Related,294
78217,35257.0,1832,52.0,Disturbance,266
78221,42535.0,2194,51.6,Disturbance,290
78228,61441.0,2931,47.7,Disturbance,475
78225,15147.0,691,45.6,Traffic Related,133
78222,25935.0,1152,44.4,Traffic Related,173
78249,61712.0,2725,44.2,Traffic Related,573
78232,39638.0,1747,44.1,Traffic Related,517
78256,11435.0,502,43.9,Disturbance,50
78073,8897.0,373,41.9,Disturbance,48
78242,35159.0,1445,41.1,Patrol By,233
78240,61937.0,2538,41.0,Disturbance,370
78209,44706.0,1812,40.5,Patrol By,357
78258,47146.0,1740,36.9,Traffic Related,599
78233,48060.0,1744,36.3,Traffic Related,237
78213,45124.0,1631,36.1,Disturbance,226
78251,65885.0,2334,35.4,Disturbance,299
78247,53597.0,1884,35.2,Patrol By,308
78245,76392.0,2183,28.6,Traffic Related,431
78252,11479.0,316,27.5,SAPD Non-Emergency Call,44
78150,41.0,1,24.4,Officer Traffic Stop,1
78250,62951.0,1523,24.2,Patrol By,172
78259,26591.0,636,23.9,Traffic Related,135
78266,6592.0,118,17.9,Minor Accident,26
78248,13822.0,246,17.8,Traffic Related,41
78264,10603.0,178,16.8,Patrol By,71
78112,8725.0,142,16.3,Traffic Related,23
78253,41900.0,675,16.1,SAPD Non-Emergency Call,181
78244,33988.0,517,15.2,SAPD Non-Emergency Call,66
78254,61141.0,882,14.4,Minor Accident,103
78109,39424.0,512,13.0,Traffic Related,82
78243,419.0,5,11.9,Traffic Related,3
78239,26966.0,266,9.9,SAPD Non-Emergency Call,51
78255,15064.0,141,9.4,SAPD Non-Emergency Call,15
78236,6760.0,58,8.6,Patrol By,39
78260,26164.0,207,7.9,Traffic Related,43
78023,29847.0,232,7.8,Traffic Related,37
78234,4917.0,31,6.3,Patrol By,9
78263,3561.0,22,6.2,SAPD Non-Emergency Call,10
78002,5758.0,19,3.3,SAPD Non-Emergency Call,12
78152,2569.0,8,3.1,SAPD Non-Emergency Call,8
78261,16518.0,49,3.0,SAPD Non-Emergency Call,34
78154,41171.0,81,2.0,Traffic Related,23
78101,7434.0,6,0.8,SAPD Emergency Call,4
78015,17187.0,10,0.6,SAPD Non-Emergency Call,4
78006,37568.0,15,0.4,SAPD Non-Emergency Call,9
78069,6187.0,2,0.3,SAPD Emergency Call,2
78052,6128.0,1,0.2,SAPD Non-Emergency Call,1
78155,50832.0,5,0.1,SAPD Non-Emergency Call,2
78148,22955.0,3,0.1,SAPD Emergency Call,2
78404,16852.0,2,0.1,Patrol By,2
78070,15537.0,1,0.1,Minor Accident,1
78163,13937.0,1,0.1,Traffic Related,1
78130,79786.0,1,0.0,Patrol By,1
78108,43579.0,1,0.0,Miscellaneous,1
