Zipcode,Population,Count,IncidentsPer1000,ProblemType,ProblemCount
78205,1503.0,1901,1264.8,Disturbance,430
78215,2925.0,816,279.0,Patrol By,179
78216,45325.0,4832,106.6,Traffic Related,820
78257,8113.0,815,100.5,Traffic Related,187
78208,4549.0,407,89.5,Traffic Related,80
78235,1471.0,129,87.7,Disturbance,16
78238,27027.0,2334,86.4,Traffic Related,590
78207,57700.0,4570,79.2,Patrol By,890
78202,11675.0,923,79.1,Disturbance,153
78212,27940.0,2184,78.2,Patrol By,361
78204,12850.0,990,77.0,Traffic Related,151
78229,35589.0,2673,75.1,Disturbance,434
78219,17705.0,1275,72.0,Traffic Related,252
78203,6162.0,440,71.4,Patrol By,52
78220,17095.0,1208,70.7,Disturbance,191
78218,38749.0,2600,67.1,Traffic Related,664
78227,49326.0,3102,62.9,Traffic Related,687
78201,50336.0,3080,61.2,Disturbance,445
78224,22569.0,1360,60.3,Traffic Related,172
78226,8012.0,460,57.4,Disturbance,76
78237,41247.0,2348,56.9,Disturbance,291
78210,37061.0,2066,55.7,Patrol By,263
78214,26805.0,1469,54.8,Disturbance,200
78230,45661.0,2402,52.6,Traffic Related,750
78223,56484.0,2682,47.5,Disturbance,395
78225,15147.0,717,47.3,Traffic Related,105
78211,34539.0,1596,46.2,Traffic Related,170
78217,35257.0,1505,42.7,Disturbance,194
78231,10132.0,424,41.8,Patrol By,109
78256,11435.0,470,41.1,Patrol By,46
78222,25935.0,1043,40.2,Disturbance,152
78228,61441.0,2417,39.3,Disturbance,376
78249,61712.0,2305,37.4,Traffic Related,361
78213,45124.0,1648,36.5,Disturbance,213
78221,42535.0,1532,36.0,Disturbance,200
78242,35159.0,1260,35.8,Disturbance,156
78209,44706.0,1578,35.3,Traffic Related,281
78232,39638.0,1373,34.6,Traffic Related,441
78240,61937.0,2053,33.1,Disturbance,265
78258,47146.0,1421,30.1,Traffic Related,387
78233,48060.0,1449,30.1,Disturbance,159
78247,53597.0,1587,29.6,Traffic Related,249
78251,65885.0,1943,29.5,Minor Accident,245
78073,8897.0,224,25.2,Disturbance,33
78245,76392.0,1868,24.5,Traffic Related,416
78252,11479.0,249,21.7,SAPD Non-Emergency Call,28
78250,62951.0,1251,19.9,Patrol By,178
78259,26591.0,513,19.3,Traffic Related,92
78112,8725.0,131,15.0,Traffic Related,51
78248,13822.0,203,14.7,Traffic Related,21
78244,33988.0,456,13.4,SAPD Non-Emergency Call,56
78264,10603.0,141,13.3,Traffic Related,25
78254,61141.0,716,11.7,Minor Accident,84
78266,6592.0,74,11.2,Traffic Related,15
78253,41900.0,426,10.2,SAPD Non-Emergency Call,103
78255,15064.0,151,10.0,Traffic Related,24
78109,39424.0,371,9.4,Minor Accident,49
78239,26966.0,235,8.7,Minor Accident,30
78260,26164.0,176,6.7,Patrol By,34
78263,3561.0,23,6.5,SAPD Emergency Call,7
78234,4917.0,29,5.9,Traffic Related,8
78023,29847.0,165,5.5,Minor Accident,34
78236,6760.0,29,4.3,Patrol By,16
78261,16518.0,46,2.8,SAPD Non-Emergency Call,27
78243,419.0,1,2.4,Major Accident,1
78002,5758.0,13,2.3,SAPD Non-Emergency Call,9
78154,41171.0,52,1.3,Animal Related,9
78069,6187.0,6,1.0,SAPD Emergency Call,4
78152,2569.0,2,0.8,SAPD Emergency Call,2
78101,7434.0,5,0.7,SAPD Non-Emergency Call,3
78404,16852.0,10,0.6,Patrol By,5
78006,37568.0,12,0.3,SAPD Non-Emergency Call,7
78015,17187.0,4,0.2,SAPD Non-Emergency Call,3
78148,22955.0,4,0.2,SAPD Non-Emergency Call,3
78052,6128.0,1,0.2,SAPD Emergency Call,1
78155,50832.0,4,0.1,Suspicious Person,2
78130,79786.0,3,0.0,Traffic Related,2
