Zipcode,Population,Count,IncidentsPer1000,ProblemType,ProblemCount
78205,1503.0,1443,960.1,Disturbance,328
78215,2925.0,649,221.9,Patrol By,117
78235,1471.0,134,91.1,Disturbance,22
78216,45325.0,3514,77.5,Traffic Related,654
78257,8113.0,625,77.0,Traffic Related,135
78208,4549.0,318,69.9,Disturbance,52
78204,12850.0,814,63.3,Traffic Related,128
78238,27027.0,1671,61.8,Traffic Related,378
78212,27940.0,1695,60.7,Disturbance,282
78229,35589.0,2142,60.2,Traffic Related,352
78207,57700.0,3253,56.4,Disturbance,443
78220,17095.0,957,56.0,Traffic Related,178
78219,17705.0,977,55.2,Traffic Related,309
78202,11675.0,626,53.6,Disturbance,90
78218,38749.0,2051,52.9,Traffic Related,585
78203,6162.0,321,52.1,Disturbance,51
78227,49326.0,2474,50.2,Traffic Related,382
78224,22569.0,1093,48.4,Traffic Related,132
78210,37061.0,1755,47.4,Disturbance,242
78230,45661.0,2065,45.2,Traffic Related,756
78201,50336.0,2206,43.8,Disturbance,364
78223,56484.0,2456,43.5,Traffic Related,349
78226,8012.0,346,43.2,Disturbance,69
78237,41247.0,1770,42.9,Disturbance,273
78214,26805.0,1086,40.5,Disturbance,169
78225,15147.0,602,39.7,Patrol By,85
78217,35257.0,1299,36.8,Traffic Related,232
78221,42535.0,1437,33.8,Disturbance,207
78211,34539.0,1160,33.6,Traffic Related,116
78228,61441.0,2006,32.6,Disturbance,314
78222,25935.0,831,32.0,Disturbance,106
78231,10132.0,309,30.5,Traffic Related,80
78256,11435.0,347,30.3,Traffic Related,45
78213,45124.0,1327,29.4,Traffic Related,175
78209,44706.0,1246,27.9,Traffic Related,271
78232,39638.0,1098,27.7,Traffic Related,354
78242,35159.0,970,27.6,Patrol By,102
78249,61712.0,1668,27.0,Traffic Related,359
78240,61937.0,1506,24.3,Disturbance,209
78251,65885.0,1557,23.6,Traffic Related,184
78233,48060.0,1124,23.4,Disturbance,147
78258,47146.0,1001,21.2,Traffic Related,288
78247,53597.0,1120,20.9,Traffic Related,175
78245,76392.0,1399,18.3,Traffic Related,225
78252,11479.0,181,15.8,SAPD Non-Emergency Call,29
78073,8897.0,133,14.9,Disturbance,14
78250,62951.0,932,14.8,Traffic Related,102
78259,26591.0,373,14.0,Traffic Related,63
78244,33988.0,405,11.9,Disturbance,46
78112,8725.0,95,10.9,Traffic Related,27
78254,61141.0,599,9.8,Traffic Related,108
78248,13822.0,131,9.5,Disturbance,16
78243,419.0,4,9.5,Forgery,1
78266,6592.0,61,9.3,Traffic Related,16
78253,41900.0,391,9.3,SAPD Non-Emergency Call,94
78264,10603.0,97,9.1,SAPD Non-Emergency Call,14
78109,39424.0,352,8.9,Traffic Related,81
78239,26966.0,200,7.4,SAPD Non-Emergency Call,41
78255,15064.0,101,6.7,Traffic Related,21
78023,29847.0,139,4.7,Traffic Related,28
78234,4917.0,21,4.3,Miscellaneous,4
78260,26164.0,108,4.1,SAPD Non-Emergency Call,22
78236,6760.0,25,3.7,Patrol By,5
78263,3561.0,8,2.2,SAPD Emergency Call,3
78261,16518.0,27,1.6,SAPD Non-Emergency Call,19
78152,2569.0,3,1.2,SAPD Non-Emergency Call,2
78002,5758.0,6,1.0,SAPD Non-Emergency Call,3
78154,41171.0,28,0.7,Disturbance,5
78101,7434.0,5,0.7,Traffic Related,3
78404,16852.0,6,0.4,Patrol By,2
78006,37568.0,9,0.2,SAPD Emergency Call,3
78015,17187.0,3,0.2,SAPD Non-Emergency Call,2
78155,50832.0,4,0.1,Patrol By,3
78148,22955.0,2,0.1,Disturbance,1
78648,8264.0,1,0.1,Traffic Related,1
78108,43579.0,2,0.0,SAPD Emergency Call,1
78130,79786.0,1,0.0,Traffic Related,1
