Zipcode,Population,Count,IncidentsPer1000,ProblemType,ProblemCount
78205,1503.0,2479,1649.4,Disturbance,529
78215,2925.0,998,341.2,Patrol By,161
78257,8113.0,1272,156.8,Traffic Related,433
78216,45325.0,6702,147.9,Patrol By,1167
78235,1471.0,207,140.7,Disturbance,32
78204,12850.0,1503,117.0,Traffic Related,283
78208,4549.0,499,109.7,Traffic Related,117
78238,27027.0,2875,106.4,Traffic Related,655
78220,17095.0,1797,105.1,Disturbance,260
78212,27940.0,2829,101.3,Disturbance,399
78229,35589.0,3491,98.1,Disturbance,549
78207,57700.0,5596,97.0,Patrol By,725
78203,6162.0,585,94.9,Disturbance,74
78202,11675.0,1107,94.8,Disturbance,186
78224,22569.0,2131,94.4,Traffic Related,360
78219,17705.0,1670,94.3,Traffic Related,512
78218,38749.0,3533,91.2,Traffic Related,1094
78227,49326.0,4266,86.5,Traffic Related,720
78210,37061.0,2976,80.3,Traffic Related,501
78201,50336.0,4031,80.1,Traffic Related,718
78226,8012.0,635,79.3,Disturbance,103
78237,41247.0,3197,77.5,Disturbance,470
78214,26805.0,2053,76.6,Disturbance,351
78230,45661.0,3419,74.9,Traffic Related,1326
78223,56484.0,3998,70.8,Disturbance,556
78211,34539.0,2204,63.8,Traffic Related,321
78225,15147.0,965,63.7,Patrol By,170
78217,35257.0,2080,59.0,Disturbance,289
78256,11435.0,666,58.2,Burglary Vehicle,76
78221,42535.0,2428,57.1,Disturbance,335
78228,61441.0,3289,53.5,Disturbance,539
78222,25935.0,1365,52.6,Disturbance,163
78249,61712.0,3045,49.3,Traffic Related,711
78242,35159.0,1724,49.0,Traffic Related,237
78231,10132.0,451,44.5,Patrol By,71
78213,45124.0,2010,44.5,Traffic Related,287
78209,44706.0,1961,43.9,Traffic Related,280
78240,61937.0,2662,43.0,Disturbance,374
78233,48060.0,2060,42.9,Traffic Related,281
78232,39638.0,1665,42.0,Traffic Related,476
78247,53597.0,2126,39.7,Traffic Related,339
78251,65885.0,2557,38.8,Traffic Related,304
78258,47146.0,1669,35.4,Traffic Related,392
78245,76392.0,2373,31.1,Traffic Related,440
78252,11479.0,296,25.8,SAPD Non-Emergency Call,42
78250,62951.0,1546,24.6,Traffic Related,207
78243,419.0,10,23.9,Disturbance (Gun Involved),2
78073,8897.0,213,23.9,Traffic Related,42
78259,26591.0,572,21.5,Traffic Related,78
78248,13822.0,258,18.7,Disturbance,25
78244,33988.0,625,18.4,SAPD Non-Emergency Call,69
78254,61141.0,1092,17.9,Traffic Related,157
78266,6592.0,113,17.1,Traffic Related,28
78112,8725.0,146,16.7,Traffic Related,59
78253,41900.0,654,15.6,SAPD Non-Emergency Call,168
78255,15064.0,198,13.1,Traffic Related,29
78264,10603.0,127,12.0,Traffic Related,19
78239,26966.0,302,11.2,SAPD Non-Emergency Call,51
78109,39424.0,435,11.0,Traffic Related,110
78234,4917.0,52,10.6,Patrol By,7
78236,6760.0,58,8.6,Patrol By,22
78023,29847.0,238,8.0,Traffic Related,44
78260,26164.0,200,7.6,SAPD Non-Emergency Call,38
78263,3561.0,16,4.5,SAPD Non-Emergency Call,10
78002,5758.0,19,3.3,SAPD Non-Emergency Call,8
78261,16518.0,50,3.0,SAPD Non-Emergency Call,34
78154,41171.0,73,1.8,Traffic Related,28
78152,2569.0,3,1.2,SAPD Non-Emergency Call,2
78101,7434.0,7,0.9,SAPD Non-Emergency Call,5
78015,17187.0,10,0.6,SAPD Emergency Call,5
78069,6187.0,3,0.5,SAPD Non-Emergency Call,2
78006,37568.0,15,0.4,SAPD Non-Emergency Call,5
78404,16852.0,7,0.4,Patrol By,5
78148,22955.0,8,0.3,SAPD Non-Emergency Call,3
78052,6128.0,1,0.2,SAPD Emergency Call,1
78124,6553.0,1,0.2,Minor Accident,1
78155,50832.0,4,0.1,Patrol By,3
78108,43579.0,2,0.0,CRT Follow Up,1
78130,79786.0,2,0.0,Miscellaneous,1
