Date,Time,Address,Zipcode,Category,ProblemType,PatrolDistrict,Substation,IncidentNumber,LAT,LON,ResponseDate,URL,Color,About,Year,Month
09/01/25, 4:08:28,13200 Nacogdoches Rd,78217-1535,Crimes Against Person Calls,Robbery of Individual,3210,NORTH,SAPD-2025-1221673,29.560647,-98.393331,1756717708000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link,25,9
09/01/25, 4:09:12,1100 Patricia Dr,78213,Other Calls,Disturbance,3110,NORTH,SAPD-2025-1221675,29.544519,-98.513692,1756717752000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:07:35,8700 MYSTIC PARK,78254,Other Calls,Patrol By,7320,PRUE,SAPD-2025-1221672,29.524489,-98.642833,1756717655000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:10:44,8100 GUILBEAU RD,78250,Other Calls,Patrol By,7320,PRUE,SAPD-2025-1221677,29.519082,-98.645866,1756717844000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:12:52,6200 Ih 10 W,78201,Property Crime Calls,Burglary in Progress,5230,WEST,SAPD-2025-1221681,29.485545,-98.542186,1756717972000,http://www.sanantonio.gov/sapd/Calls.aspx,Green,a tbd link,25,9
09/01/25, 4:11:41,100 I ST,78210,Other Calls,Patrol By,4140,EAST,SAPD-2025-1221680,29.405448,-98.448629,1756717901000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:13:45,2700-2728 Ne Loop 410,78217,Traffic Calls,Major Accident,4360,EAST,SAPD-2025-1221682,29.515617,-98.410912,1756718025000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,25,9
09/01/25, 4:19:16,4801-4999 US HWY 281 N SB,78212,Traffic Calls,Traffic Related,1240,DOWNTOWN,SAPD-2025-1221690,29.475071,-98.480216,1756718356000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,25,9
09/01/25, 4:18:28,1100 IOWA ST,78203,Other Calls,Patrol By,4120,EAST,SAPD-2025-1221688,29.412114,-98.465295,1756718308000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:22:58,3800 Oak Trl,78228,Other Calls,Suspicious Person,5230,WEST,SAPD-2025-1221699,29.481454,-98.558284,1756718578000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:24:10,11400 Vance Jackson,78230,Other Calls,Disturbance Family,7220,PRUE,SAPD-2025-1221698,29.546797,-98.563481,1756718650000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:20:20,I0 10 W SB,78201,Traffic Calls,Traffic Related,5240,WEST,SAPD-2025-1221692,29.484634,-98.532906,1756718420000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,25,9
09/01/25, 4:23:37,5300 Blanco Rd,78216,Other Calls,Disturbance,3310,NORTH,SAPD-2025-1221696,29.499795,-98.507116,1756718617000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:20:59,200 Blk River Walk,78205,Other Calls,Patrol By,1110,DOWNTOWN,SAPD-2025-1221693,29.42509,-98.490494,1756718459000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:23:32,9600 BANDERA RD,78250,Other Calls,Patrol By,7320,PRUE,SAPD-2025-1221695,29.533079,-98.645785,1756718612000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:23:51,3100 ROSELAWN,78226,Other Calls,Patrol By,6310,SOUTH,SAPD-2025-1221697,29.390792,-98.556839,1756718631000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:25:33,I0 10 W NB,78213,Other Calls,Wanted Person,2230,CENTRAL,SAPD-2025-1221703,29.501119,-98.548595,1756718733000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:26:22,10700 NACOGDOCHES RD,78217,Other Calls,Patrol By,3360,NORTH,SAPD-2025-1221706,29.537296,-98.424546,1756718782000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:29:36,Ih 37 S / Se Military Dr,78223,Traffic Calls,Traffic Related,6270,SOUTH,SAPD-2025-1221708,29.352497,-98.428827,1756718976000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,25,9
09/01/25, 4:31:37,800 N OLIVE ST,78202,Other Calls,Patrol By,4110,EAST,SAPD-2025-1221710,29.429885,-98.47195,1756719097000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:32:09,8800 Adams Hill Dr,78227,Other Calls,Patrol By,5340,WEST,SAPD-2025-1221711,29.410445,-98.659513,1756719129000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:33:17,700 CULBERSON AVE,78211,Other Calls,Patrol By,6120,SOUTH,SAPD-2025-1221712,29.382028,-98.539532,1756719197000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:36:21,11400 Remsen,78251,Other Calls,Disturbance,5360,WEST,SAPD-2025-1221715,29.439423,-98.705624,1756719381000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:39:29,100 S JOSEPHINE TOBIN,78201,Other Calls,Patrol By,5210,WEST,SAPD-2025-1221718,29.44945,-98.530416,1756719569000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:40:19,8800 Adams Hill Dr,78227,Other Calls,Patrol By,5340,WEST,SAPD-2025-1221721,29.410445,-98.659513,1756719619000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:42:15,700 CAMARON,78207,Other Calls,Patrol By,1130,DOWNTOWN,SAPD-2025-1221722,29.431675,-98.49792,1756719735000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:42:17,800 N CHERRY ST,78202,Other Calls,Patrol By,1130,DOWNTOWN,SAPD-2025-1221724,29.430628,-98.476804,1756719737000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:44:19,300 Harmon Dr,78209,Traffic Calls,Minor Accident,3340,NORTH,SAPD-2025-1221726,29.491566,-98.446482,1756719859000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,25,9
09/01/25, 4:43:47,8800 Adams Hill Dr,78227,Other Calls,Patrol By,5340,WEST,SAPD-2025-1221725,29.410445,-98.659513,1756719827000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:46:51,1300 Vance Jackson Rd,78201,Crimes Against Person Calls,Assault,2230,CENTRAL,SAPD-2025-1221731,29.48543,-98.53455,1756720011000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link,25,9
09/01/25, 4:45:51,200 Pinehurst Blvd,78221,Other Calls,Disturbance Loud Music,6250,SOUTH,SAPD-2025-1221728,29.327052,-98.500631,1756719951000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:49:35,2700 Se Military Dr,78223,Other Calls,Disturbance,6270,SOUTH,SAPD-2025-1221735,29.351743,-98.449841,1756720175000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:48:53,8800 Adams Hill Dr,78227,Other Calls,Patrol By,5340,WEST,SAPD-2025-1221734,29.410445,-98.659513,1756720133000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:51:49,1000 Fredericksburg Rd,78201,Other Calls,DOA,1220,DOWNTOWN,SAPD-2025-1221737,29.453192,-98.514722,1756720309000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:55:51,Nw 29th St / W Laurel St,78228,Crimes Against Person Calls,Suspicious Vehicle,2360,CENTRAL,SAPD-2025-1221749,29.446613,-98.549611,1756720551000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link,25,9
09/01/25, 4:53:04,9900 San Pedro Ave,78216,Other Calls,Disturbance,3110,NORTH,SAPD-2025-1221739,29.5312,-98.497192,1756720384000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:53:11,8500 Mccullough Ave,78216,Other Calls,Suspicious Person,3320,NORTH,SAPD-2025-1221740,29.516418,-98.49173,1756720391000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:51:53,1000 Fredericksburg Rd,78201,Other Calls,DOA,1220,DOWNTOWN,SAPD-2025-1221736,29.453192,-98.514722,1756720313000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,9
09/01/25, 4:53:56,3100 W Woodlawn Ave,78228,Property Crime Calls,Burglary,5220,WEST,SAPD-2025-1221744,29.456727,-98.554388,1756720436000,http://www.sanantonio.gov/sapd/Calls.aspx,Green,a tbd link,25,9
09/01/25, 4:53:30,2300 Waverly Ave,78228,Traffic Calls,Minor Accident,5220,WEST,SAPD-2025-1221742,29.448973,-98.549261,1756720410000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,25,9
