Date,Time,Address,Zipcode,Category,ProblemType,PatrolDistrict,Substation,IncidentNumber,LAT,LON,ResponseDate,URL,Color,About
08/17/22, 1:24:40,2900 Blanco Rd,78212,Crimes Against Person Calls,Holdup Alarm In Progress,2240,CENTRAL,SAPD-2022-1074610,29.4739,-98.50766,1660760680000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link
08/17/22, 1:25:41,13500 West Ave,78216,Other Calls,Disturbance Family,3120,NORTH,SAPD-2022-1074616,29.566286,-98.489692,1660760741000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:25:56,5500 Randolph Blvd,78233,Property Crime Calls,Theft of Vehicle,3230,NORTH,SAPD-2022-1074617,29.532262,-98.380129,1660760756000,http://www.sanantonio.gov/sapd/Calls.aspx,Green,a tbd link
08/17/22, 1:25:19,20800 Us Hwy 281 N,78258,Property Crime Calls,Panhandler,3160,NORTH,SAPD-2022-1074613,29.638579,-98.456024,1660760719000,http://www.sanantonio.gov/sapd/Calls.aspx,Green,a tbd link
08/17/22, 1:24:06,101-199 W PALFREY AVE,78223,Traffic Calls,Traffic Related,4260,EAST,SAPD-2022-1074606,29.363054,-98.439509,1660760646000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:27:56,11400 Vance Jackson,78230,Other Calls,Patrol By,7220,PRUE,SAPD-2022-1074632,29.546797,-98.563481,1660760876000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:24:21,4800 CINNAMON TRL,78240,Other Calls,Miscellaneous,7150,PRUE,SAPD-2022-1074607,29.526821,-98.579642,1660760661000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:29:57,Sw 36th St / Enrique M Barrera Pkwy,78237,Crimes Against Person Calls,Suspicious Vehicle with Gun,5140,WEST,SAPD-2022-1074647,29.426878,-98.572416,1660760997000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link
08/17/22, 1:24:40,801-899 BYNUM AVE,78211,Traffic Calls,Traffic Related,6320,SOUTH,SAPD-2022-1074609,29.357725,-98.561997,1660760680000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:25:31,U0 HWY 281 N NB,78216,Traffic Calls,Traffic Related,3130,NORTH,SAPD-2022-1074614,29.551869,-98.487049,1660760731000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:27:09,6700 N Loop 1604 E,78266,Traffic Calls,Minor Accident,3260,NORTH,SAPD-2022-1074625,29.600238,-98.355886,1660760829000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:27:27,600 Mccullough Ave,78215,Other Calls,Suspicious Person,2130,CENTRAL,SAPD-2022-1074627,29.4336,-98.487347,1660760847000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:27:09,5000 Sunset Glade,78240,Property Crime Calls,Criminal Mischief,7150,PRUE,SAPD-2022-1074633,29.525871,-98.583792,1660760829000,http://www.sanantonio.gov/sapd/Calls.aspx,Green,a tbd link
08/17/22, 1:26:05,7400 SUNSCAPE WAY,78250,Other Calls,CRT Follow Up,7360,PRUE,SAPD-2022-1074618,29.51175,-98.677322,1660760765000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:28:10,20900 Us Hwy 281 N,78258,Other Calls,Welfare Check,3160,NORTH,SAPD-2022-1074637,29.640369,-98.456289,1660760890000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:26:28,10800 Vandale,78216,Property Crime Calls,Theft,3350,NORTH,SAPD-2022-1074621,29.539951,-98.489025,1660760788000,http://www.sanantonio.gov/sapd/Calls.aspx,Green,a tbd link
08/17/22, 1:30:05,Labor St / Leigh St,78210,Other Calls,Disturbance,2110,CENTRAL,SAPD-2022-1074648,29.411579,-98.483799,1660761005000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:26:46,214-512 US HWY 90 W EB,78225,Traffic Calls,Traffic Related,6110,SOUTH,SAPD-2022-1074623,29.396247,-98.518424,1660760806000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:29:15,1600 Vance Jackson,78213,Traffic Calls,Traffic Related,2260,CENTRAL,SAPD-2022-1074641,29.487832,-98.537773,1660760955000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:27:48,19200 Barrow Bay,78258,Other Calls,DOA,3160,NORTH,SAPD-2022-1074630,29.621303,-98.472904,1660760868000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:29:47,Rigsby Ave / S Ww White Rd,78222,Traffic Calls,Traffic Violation,4250,EAST,SAPD-2022-1074644,29.398251,-98.404596,1660760987000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:30:11,Us Hwy 281 N Nb / Pearl Pkwy,78215,Traffic Calls,Traffic Related,2230,CENTRAL,SAPD-2022-1074649,29.442026,-98.478401,1660761011000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:31:52,13500 West Ave,78216,Other Calls,Information,3120,NORTH,SAPD-2022-1074654,29.566286,-98.489692,1660761112000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:29:29,Babcock Rd / W Hausman Rd,78249,Traffic Calls,Major Accident,7250,PRUE,SAPD-2022-1074639,29.572059,-98.631516,1660760969000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:29:55,Babcock Rd / W Hausman Rd,78249,Traffic Calls,Major Accident,7250,PRUE,SAPD-2022-1074646,29.572059,-98.631516,1660760995000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:33:50,11500 Jones Maltsberger Rd,78216,Traffic Calls,Minor Accident,3130,NORTH,SAPD-2022-1074672,29.545394,-98.475308,1660761230000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:30:49,9100 N Loop 1604 W,78023,Crimes Against Person Calls,Suspicious Vehicle,7350,PRUE,SAPD-2022-1074653,29.557778,-98.666667,1660761049000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link
08/17/22, 1:29:16,7300-7399 W Hausman Rd,78249,Traffic Calls,Major Accident,7250,PRUE,SAPD-2022-1074638,29.572056,-98.632033,1660760956000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:29:42,LEON VISTA TRAIL,78240,Other Calls,Patrol By,7310,PRUE,SAPD-2022-1074643,29.522864,-98.624815,1660760982000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:32:04,Ih 35 N Nb / Rittiman Rd,78218,Traffic Calls,Traffic Related,4340,EAST,SAPD-2022-1074657,29.484063,-98.403035,1660761124000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:29:52,11500 BUCKRAIL,78232,Other Calls,Ordinance Violation,7240,PRUE,SAPD-2022-1074645,29.580864,-98.508415,1660760992000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:31:54,13516-13599 Babcock Rd,78249,Traffic Calls,Major Accident,7250,PRUE,SAPD-2022-1074656,29.572021,-98.631514,1660761114000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:31:55,Us Hwy 281 N Nb / E Sonterra Blvd,78258,Other Calls,Welfare Check,3150,NORTH,SAPD-2022-1074658,29.61429,-98.466843,1660761115000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:30:22,6201-6751 IH 10 E,78219,Traffic Calls,Traffic Related,4310,EAST,SAPD-2022-1074650,29.447307,-98.355079,1660761022000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:32:37,100 Hearne,78225,Traffic Calls,Abandoned Vehicle,6110,SOUTH,SAPD-2022-1074660,29.389589,-98.522711,1660761157000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:30:47,6401-6899 STATE HWY 151 NB,78227,Traffic Calls,Traffic Related,5160,WEST,SAPD-2022-1074651,29.434078,-98.61836,1660761047000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:30:52,300 W MITCHELL ST,78204,Other Calls,Patrol By,6210,SOUTH,SAPD-2022-1074652,29.393294,-98.496914,1660761052000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:32:21,8500 Ih 35 S,78211,Property Crime Calls,Theft In Progress,6140,SOUTH,SAPD-2022-1074661,29.340481,-98.55423,1660761141000,http://www.sanantonio.gov/sapd/Calls.aspx,Green,a tbd link
08/17/22, 1:37:34,S Flores St / E Gerald Ave,78214,Other Calls,Welfare Check,6230,SOUTH,SAPD-2022-1074691,29.365725,-98.494758,1660761454000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:32:30,8500 Ih 35 S,78211,Crimes Against Person Calls,Assault In Progress,6140,SOUTH,SAPD-2022-1074659,29.340481,-98.55423,1660761150000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link
